author,comment
@djanxxmv,Mungkung duetin ama jack gawne 😂
@Envyx444,kaka mungkung🤭
@IBAXD,Kurang panjang intronya bang🗿
@Damar_27,mukapaya
@muhammadfadli8806,pesan bang erik buat warga 69 sering sering mijak rumput di dunia nyata
@ELQIEWA,mungkunggg btutu
@AL9OFFICIALY,sama di karnaval yang ada prosotan itu berat
@Aldigantenggamiring-s6c,Yg tentang barang barang di gudang ilang blm dibahas bg
@Lucass67-h3t,klo nyindir jarot ngaku adek nya mungkung si gamungkin soalnya diakuin mungkung juga jadi abangnya jadi siapa nichhh
@MichaelUmbu-n9n,💛💜💛💜
@bandunuji4091,BATUTU ON TOP🔝
@dimxsaputra,Onggoy ventol
@boren-k2n,tapi kasian suka di bully sama orang yg rendah dari dia wk👀
@aihtrakbuk2128,WJKWKWKKW TAIIIII MUKMIRRR
@YeHistorys,batutu
@ichisiro86,THANKS bang erikolim...Seneng Gua Liatnya...Lu Membawakan kisah tentang Mungkung
@danisyahru6471,si imut ternyata soft spoken🥰
@Kanavi___0,iya si bg baju itu se berpengaruh itu😅
@permenbabel,Kakak ungkungg imuttttt gemass
@alfariziiiiii,kaka mungkung🔥🔥
@cil4154,anjaiiiiiii
@davidAlamsyah-tf3gf,Bsg gang mixing and chiter
@zellyeremia4021,ANJAAYYYY INTRO LEGENDDDD
@rizilla23,"Soal pakaian, kalo saran gw sih beberapa ada yg dihapus aja rick, atau digantiin sama baju yg lebih oke, karena menurut gw banyak banget baju yg kurang bagus , banyak juga pakaian yg ternyata dobel2, misal di nomer 69 ada model baju A, ternyata di nomer 96 juga ada model baju A, teksturnya pun sama, dan itu ga cuman di baju, di sepatu sama bagian2 lain jg ada yg dobel2 sih."
@BintangPantjoro,cukup yappingnya?
@piscaaa20,ABANG AKU🤩
@VrenzyFX9,ADEK EMAS
@inakjuminah3968,Wih Abang ya mungkung
@AlbertEinstein-h7u,"saran bg admin sering sering cek orang"" yang grading nge craft apapun itu begadang sampe pagi kasihan badan nya"
@JohanKemek-u1k,BANTU LIKE ERICKOLIM GEYS
@satriagans4228,gacorrr kaka
@GRINERSindonesia,Si onggoy
@r3ngrat,mungkung jangan diginiin bang makin naik nanti dagunya
@andrewesly-g7i,Bang dia helperrr di 69?
@FirmanSyah-cd1wo,MSF→erikcolim
@Halobang12,Kang rusuh
@Knelfe,MSF JAYA JAYA JAYA
@YADI.slenger,BATUTU😡😡
@zockewgaming,mantapp bang aku fans kamu🔥
@MIM0991,Live ngeboren lg rik
@fadli6179,Gg dagu
@obitdwiendarto,ANJG BENER DI CONFIRM ADEKNYA ERIC🤣
@Poppmiee,jaya jaya jayaa
@donpabloelpatrons,Boss live dong
@Abysssssz,"Mungkung sih keren Rik, dgn gebrakan dia ini, dia bisa bawa viewer dari server manapun itu"
@wulanramadhan6474,Oh jadi singkong itu adek lu😮
@infophising75,"Coba rik jadiin mungkung maskot tapi pake identitas yang beda yang ikonik gitu, mungkung kan ikonik nya ngerusuh nah bisa tuh buat jadi maskot kota contoh kaya si yan.. dari server sebelah"
@gramatlo,Okeh
@gosstonggoss,Msf jaya jaya jaya
@ikyjellydrink,LET'S GO KAKA UNGKUNG❤
@arielrafa4637,Anjay miring gemink nih bos
@kyyxe,gede kepala nya itu abis puji erikolim
@Laa_23-23,MSF Mungkung Street Food😂😂😂
@Sanserz,"dari awal sampai akhir gw tonton, gw sepakat dengan beberapa kalimat.."
@kipply-rigit,Anjai anak tedy tu
@AbayyHigh,ventra simiring onggoy
@Ipan-v3u,Udh pada hebat👏👏👏
@tomilondho6497,10MENIT ISI NYA NYIDIR JAROT SEMUA WKWK😂
@jiasllyn,SLEBEW GAMING HORE HORE JAYA YES YES
@hendryheng,WKOKOKKWWOKWOWKK MUNGKUNG HELPER HANCUR SUDAH RP
@Atesinai,MURIDKUHHH MUNGKUNGGGG
@zaynnrfiqq,MFS JAYA JAYA
@kajotkejedot,sa marah nie
@Shaffan-i1k,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
@Marchel-vx4go,Soft spoken dan gemas
@Bgsxzy,MSF JAYA JAYA
@zaynnrfiqq,ANJAY MOTIPASIIIIIII MUNKCUR
@dotzyyyy550,JAYA JAYA JAYAA
@firgiawan9753,Admin kan tu si imut
@Iwalalala,Kaka ungkung
@dimasgbrieelstysnsyh,Gacor Jaya Jaya Jaya
@alvianjay,sopan gimana anjg di katain erickcoli
@d.duelist1024,intro legend
@xinthy4,Undang mungkung di gh Lo bang
@YAHAHAHAHA4883,ANJAY tonggos
@madzkalaudin,"Respect king, mengakui mungkung membawa traffic ke server lu"
@ArliniFaryaba-g8p4y,"gila lo RIKKK ,dia mau buat GENG emang ,biar kaga di pandang rendah mulu, dan yaa ,dia kaga sekali dua kali ,untuk nawarin  diri dia buat jadiin admin ,untuk bilang bisa Brantas citer, seperti di server""  tapi emang bener admin serveer yang lain juga mandang rendah mungkung ,karna dari image dia ngerusuh ngechit dlu"
@van23445,Bg doble bg
@yusargeno104,Sixenine di guncangkan kehadiran smf yaa🤩🤩🤩
@ynw6ix,ANAK EMAS 69😂😂🎉
@Rmaaaaaaa,Sukses trus bang buat sixnine❤
@bogengg77,si kangkung kesayangan
@Saljutv,Mungkung nonton ini sambil melet-melet yang bawah basah dikit 😅
@fidsso,GAYA BANGET TOXICNYAAA
@ORIherano,jadi founder kah mungkung?
